Title	Category
FLASH SALE | LIMITED TIME ONLY Shop Now	Urgency
Pillowcases & Shams	Not Dark Pattern
Write a review	Not Dark Pattern
To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	Not Dark Pattern
 newsletter signup (privacy policy) 	Not Dark Pattern
In demand	Scarcity
We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	Not Dark Pattern
Hurry! Only 2 left in stock	Scarcity
In Stock only 3 left	Scarcity
International Shipping Policy	Not Dark Pattern
Clothes, Shoes & Accessories	Not Dark Pattern
Hurry! Only 2 left	Scarcity
Primary Arms Scopes	Not Dark Pattern
ONLY 8 LEFT	Scarcity
MoTrail	Not Dark Pattern
LCD Ribbon Cables	Not Dark Pattern
READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	Not Dark Pattern
OUR BEST SELLING GOGGLE	Misdirection
1,142 people have added to cart recently	Social Proof
Limited Availability	Scarcity
No thanks. I don't like free things...	Misdirection
 read you will want to read -- Five Book Group Favourites * Sunday Post *	Not Dark Pattern
 Supply & Demand 	Not Dark Pattern
Michael in Pontiac, United States purchased a  	Social Proof
Bathroom Lighting	Not Dark Pattern
 Shop Optics > 	Not Dark Pattern
9 people are viewing this.	Social Proof
894 Claimed! Hurry, only a few left!	Scarcity
77 PEOPLE LIKE THIS	Social Proof
Girls Trousers	Not Dark Pattern
Specs	Not Dark Pattern
4 items left	Scarcity
HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	Urgency
Offer ends in	Urgency
Another babe in Alexandria, United States just ordered Flat Tummy Tea	Social Proof
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	Social Proof
More Info	Not Dark Pattern
Daystate FAC Air Rifles	Not Dark Pattern
Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	Not Dark Pattern
24 sold in last 24 hours.	Social Proof
 #CERTIFIED_FACE_MASKS 	Not Dark Pattern
Shop the Look	Not Dark Pattern
Kicks Remotes	Not Dark Pattern
Only 7 left in stock.	Scarcity
Whey Protein Isolate	Not Dark Pattern
 Cases for Magsafe Refine by Product Type: Cases for Magsafe 	Not Dark Pattern
Product Info	Not Dark Pattern
Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	Social Proof
 Sign In With Google 	Not Dark Pattern